Timestamp mS,Time this cycle,Link 0 active,Link 0 distance,Link 0 RX Power,Link 1 active,Link 1 distance,Link 1 RX Power,Link 2 active,Link 2 distance,Link 2 RX Power,Link 3 active,Link 3 distance,Link 3 RX Power,Link 4 active,Link 4 distance,Link 4 RX Power,Link 5 active,Link 5 distance,Link 5 RX Power
41595,656,1,9.97,-97.09,1,26.65,-104.52,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
42332,737,1,9.66,-88.95,1,26.05,-104.75,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
42661,329,1,9.58,-92.07,1,25.89,-103.47,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
42989,328,1,9.18,-99.78,1,25.50,-102.92,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
43348,359,1,9.28,-98.30,1,25.39,-96.09,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
43787,439,1,8.77,-97.27,1,24.81,-98.09,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
44006,219,1,8.43,-90.06,1,24.59,-96.03,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
44525,519,1,7.82,-95.37,1,24.00,-95.93,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
44745,220,1,7.52,-91.89,1,23.74,-96.60,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
44965,220,1,7.48,-88.73,1,23.42,-100.11,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
45185,220,1,7.33,-88.38,1,23.28,-96.14,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
45404,219,1,7.19,-85.07,1,22.95,-95.87,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
45624,220,1,7.00,-82.55,1,22.68,-103.67,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
46641,1017,1,6.17,-86.78,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
47323,682,1,5.47,-88.87,1,20.80,-100.61,0,-999,-999,1,16.81,-102.98,1,24.73,-96.43,0,-999,-999
47817,494,1,4.74,-80.84,1,20.23,-96.38,0,-999,-999,1,16.90,-103.95,1,24.71,-96.30,0,-999,-999
48311,494,1,4.25,-75.17,1,19.48,-96.66,0,-999,-999,1,16.74,-103.68,1,24.69,-95.96,0,-999,-999
48805,494,1,3.62,-80.29,1,19.00,-93.83,0,-999,-999,1,16.67,-103.41,1,24.73,-96.26,0,-999,-999
49240,435,1,3.16,-72.44,1,18.29,-96.65,0,-999,-999,1,16.74,-106.74,1,24.75,-96.28,0,-999,-999
50211,971,1,2.60,-66.48,1,17.28,-89.66,1,24.19,-100.23,1,16.65,-102.81,1,24.69,-96.72,0,-999,-999
50694,483,1,2.26,-62.05,1,16.57,-99.43,1,23.26,-101.99,1,16.69,-102.17,1,24.71,-97.01,0,-999,-999
51177,483,1,1.99,-64.35,1,15.75,-91.07,1,22.90,-96.98,1,16.54,-101.87,1,24.73,-97.10,0,-999,-999
51780,603,1,2.01,-61.66,1,15.15,-97.62,1,22.16,-103.79,1,16.62,-111.18,1,24.74,-96.62,0,-999,-999
52614,834,1,2.40,-65.76,1,14.03,-102.22,1,21.33,-104.55,0,-999,-999,1,24.72,-96.12,0,-999,-999
53042,428,1,3.11,-84.88,1,13.31,-95.05,1,20.60,-99.88,0,-999,-999,0,-999,-999,0,-999,-999
53619,577,1,3.63,-68.56,1,12.46,-89.76,1,20.02,-94.13,0,-999,-999,0,-999,-999,0,-999,-999
54249,630,1,3.93,-88.71,1,11.61,-98.94,1,19.58,-97.46,0,-999,-999,0,-999,-999,0,-999,-999
54527,278,1,4.52,-93.59,1,11.51,-90.99,1,19.19,-88.88,0,-999,-999,0,-999,-999,0,-999,-999
54805,278,1,4.74,-89.51,1,11.20,-88.26,1,19.00,-89.08,0,-999,-999,0,-999,-999,0,-999,-999
55580,775,0,-999,-999,1,9.90,-93.41,1,17.91,-98.74,0,-999,-999,0,-999,-999,0,-999,-999
56355,775,0,-999,-999,1,8.92,-96.04,1,17.26,-96.39,0,-999,-999,0,-999,-999,0,-999,-999
56997,642,1,7.26,-100.27,1,8.57,-95.16,1,16.69,-92.38,0,-999,-999,0,-999,-999,0,-999,-999
57759,762,1,7.90,-101.04,1,7.33,-98.73,1,15.89,-97.80,0,-999,-999,0,-999,-999,1,9.68,-90.82
58173,414,1,8.71,-95.42,1,6.99,-96.02,1,15.38,-96.62,0,-999,-999,0,-999,-999,1,9.63,-90.79
58944,771,1,9.83,-96.82,1,5.79,-95.66,1,14.77,-94.94,0,-999,-999,0,-999,-999,1,9.66,-90.61
59855,911,0,-999,-999,1,4.33,-94.19,1,13.80,-86.93,0,-999,-999,0,-999,-999,1,9.64,-90.69
60756,901,0,-999,-999,1,3.58,-77.88,1,12.81,-98.04,0,-999,-999,0,-999,-999,1,9.71,-90.59
61956,1200,0,-999,-999,1,2.26,-67.74,1,11.86,-89.57,0,-999,-999,0,-999,-999,1,9.66,-90.35
63307,1351,0,-999,-999,1,1.32,-64.59,1,10.79,-93.16,0,-999,-999,0,-999,-999,1,9.64,-91.20
64276,969,0,-999,-999,1,0.41,-61.89,1,9.27,-89.24,1,16.58,-101.93,0,-999,-999,1,9.70,-90.34
64862,586,0,-999,-999,1,0.49,-66.63,1,8.42,-92.22,1,16.67,-100.73,0,-999,-999,1,9.64,-89.95
65361,499,0,-999,-999,1,0.57,-62.76,1,8.30,-82.52,0,-999,-999,0,-999,-999,0,-999,-999
65775,414,0,-999,-999,1,1.14,-65.88,1,7.53,-92.03,1,16.82,-98.48,0,-999,-999,1,9.72,-89.80
66619,844,0,-999,-999,1,1.86,-72.46,1,6.89,-87.69,1,16.81,-99.19,0,-999,-999,1,9.68,-89.84
66989,370,0,-999,-999,1,2.50,-96.95,1,6.20,-84.13,0,-999,-999,0,-999,-999,0,-999,-999
67209,220,0,-999,-999,1,2.98,-97.76,1,5.81,-80.55,0,-999,-999,0,-999,-999,0,-999,-999
67428,219,0,-999,-999,1,3.09,-98.51,1,5.73,-75.37,0,-999,-999,0,-999,-999,0,-999,-999
67648,220,0,-999,-999,1,3.38,-99.19,1,5.48,-71.33,0,-999,-999,0,-999,-999,0,-999,-999
67868,220,0,-999,-999,1,3.68,-100.99,1,5.13,-75.77,0,-999,-999,0,-999,-999,0,-999,-999
69218,1350,0,-999,-999,0,-999,-999,1,3.90,-66.51,0,-999,-999,1,24.71,-95.56,1,9.64,-96.85
70269,1051,0,-999,-999,0,-999,-999,1,2.73,-68.81,0,-999,-999,1,24.68,-96.12,1,9.72,-96.23
71181,912,0,-999,-999,0,-999,-999,1,1.51,-62.64,0,-999,-999,1,24.69,-95.94,1,9.71,-92.40
72335,1154,0,-999,-999,0,-999,-999,1,0.63,-62.61,0,-999,-999,1,24.72,-96.50,0,-999,-999
73305,970,0,-999,-999,0,-999,-999,1,0.31,-61.04,0,-999,-999,1,24.70,-96.67,1,9.64,-91.96
74471,1166,0,-999,-999,0,-999,-999,1,0.36,-65.74,0,-999,-999,0,-999,-999,1,9.68,-104.03
75701,1230,0,-999,-999,0,-999,-999,1,0.36,-71.17,0,-999,-999,0,-999,-999,0,-999,-999
