Timestamp mS,Time this cycle,Link 0 active,Link 0 distance,Link 0 RX Power,Link 1 active,Link 1 distance,Link 1 RX Power,Link 2 active,Link 2 distance,Link 2 RX Power,Link 3 active,Link 3 distance,Link 3 RX Power,Link 4 active,Link 4 distance,Link 4 RX Power,Link 5 active,Link 5 distance,Link 5 RX Power
2246,2246,0,-999,-999,1,17.76,-95.21,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
5357,3111,0,-999,-999,0,-999,-999,1,29.53,-90.48,1,9.72,-90.49,1,14.06,-92.71,0,-999,-999
6731,1374,1,14.65,-97.09,0,-999,-999,1,31.14,-92.99,0,-999,-999,0,-999,-999,0,-999,-999
7937,1206,1,16.69,-96.52,0,-999,-999,1,32.80,-93.46,0,-999,-999,1,14.08,-92.97,0,-999,-999
9143,1206,1,18.78,-90.06,0,-999,-999,1,34.36,-100.96,0,-999,-999,1,14.03,-92.79,0,-999,-999
10370,1227,1,20.38,-96.00,1,28.55,-99.42,1,35.77,-95.45,1,9.71,-90.65,1,14.09,-92.72,1,9.52,-87.83
12524,2154,1,22.35,-98.41,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
15182,2658,1,25.93,-104.37,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
17607,2425,1,30.94,-97.86,1,39.19,-102.58,1,46.30,-97.51,1,9.77,-91.01,1,14.09,-92.73,1,9.55,-86.40
18774,1167,0,-999,-999,1,41.02,-102.47,1,48.10,-98.77,0,-999,-999,0,-999,-999,0,-999,-999
21195,2421,1,33.63,-101.66,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
22693,1498,0,-999,-999,0,-999,-999,1,52.62,-96.86,0,-999,-999,0,-999,-999,0,-999,-999
22854,161,0,-999,-999,0,-999,-999,1,54.38,-98.11,0,-999,-999,0,-999,-999,0,-999,-999
23016,162,0,-999,-999,0,-999,-999,1,54.66,-98.56,0,-999,-999,0,-999,-999,0,-999,-999
27083,4067,0,-999,-999,0,-999,-999,1,55.86,-99.89,0,-999,-999,0,-999,-999,0,-999,-999
48695,21612,0,-999,-999,1,74.32,-102.14,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
50404,1709,0,-999,-999,0,-999,-999,1,81.64,-97.57,0,-999,-999,0,-999,-999,0,-999,-999
52160,1756,1,66.22,-103.57,0,-999,-999,1,81.67,-98.53,0,-999,-999,0,-999,-999,0,-999,-999
53542,1382,1,66.47,-103.59,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
57534,3992,0,-999,-999,1,74.65,-103.74,0,-999,-999,0,-999,-999,0,-999,-999,0,-999,-999
59301,1767,0,-999,-999,0,-999,-999,1,81.57,-104.12,0,-999,-999,0,-999,-999,0,-999,-999
60297,996,0,-999,-999,0,-999,-999,1,81.64,-102.12,0,-999,-999,0,-999,-999,0,-999,-999
61342,1045,0,-999,-999,0,-999,-999,1,81.39,-99.86,0,-999,-999,0,-999,-999,0,-999,-999
66923,5581,0,-999,-999,0,-999,-999,1,81.72,-100.01,0,-999,-999,0,-999,-999,0,-999,-999
