Cycle ID,Cycle time [mS],Origin Addr,Destiny Addr,Distance (m),RX Power (dBm),Active
91,326,B4,B2,14.21,-98.75,1
92,545,C1,B3,37.03,-101.57,1
92,545,C1,B4,-999.00,-999.00,0
92,545,B3,B2,-999.00,-999.00,0
92,545,B3,B4,-999.00,-999.00,0
92,545,C1,B2,11.97,-82.90,1
92,545,B4,B2,14.27,-97.82,1
93,326,C1,B3,37.54,-94.76,1
93,326,C1,B4,-999.00,-999.00,0
93,326,B3,B2,-999.00,-999.00,0
93,326,B3,B4,-999.00,-999.00,0
93,326,C1,B2,12.69,-77.27,1
93,326,B4,B2,14.24,-98.09,1
94,778,C1,B3,38.19,-96.91,1
94,778,C1,B4,-999.00,-999.00,0
94,778,B3,B2,-999.00,-999.00,0
94,778,B3,B4,-999.00,-999.00,0
94,778,C1,B2,13.24,-89.66,1
94,778,B4,B2,14.23,-98.85,1
95,1248,C1,B3,39.79,-97.65,1
95,1248,C1,B4,-999.00,-999.00,0
95,1248,B3,B2,27.00,-96.56,1
95,1248,B3,B4,13.54,-89.14,1
95,1248,C1,B2,14.73,-76.89,1
95,1248,B4,B2,14.24,-98.36,1
96,1345,C1,B3,-999.00,-999.00,0
96,1345,C1,B4,-999.00,-999.00,0
96,1345,B3,B2,26.86,-97.86,1
96,1345,B3,B4,13.45,-90.72,1
96,1345,C1,B2,16.84,-81.47,1
96,1345,B4,B2,14.24,-98.29,1
97,521,C1,B3,43.05,-100.08,1
97,521,C1,B4,-999.00,-999.00,0
97,521,B3,B2,26.90,-95.57,1
97,521,B3,B4,13.50,-91.42,1
97,521,C1,B2,17.41,-88.29,1
97,521,B4,B2,14.26,-98.93,1
98,521,C1,B3,43.27,-101.88,1
98,521,C1,B4,-999.00,-999.00,0
98,521,B3,B2,26.89,-94.80,1
98,521,B3,B4,13.46,-91.64,1
98,521,C1,B2,17.66,-93.06,1
98,521,B4,B2,14.21,-98.30,1
99,739,C1,B3,44.80,-100.06,1
99,739,C1,B4,-999.00,-999.00,0
99,739,B3,B2,26.87,-97.64,1
99,739,B3,B4,13.46,-91.39,1
99,739,C1,B2,19.39,-96.39,1
99,739,B4,B2,14.17,-98.87,1
100,521,C1,B3,45.50,-99.24,1
100,521,C1,B4,-999.00,-999.00,0
100,521,B3,B2,26.86,-94.35,1
100,521,B3,B4,13.47,-91.96,1
