Distance (m),RX Power (dBm)
74.65,-102.06
74.73,-102.39
77.35,-101.22
77.52,-99.71
77.64,-101.00
77.67,-98.69
77.78,-99.82
77.89,-100.27
77.89,-101.70
102.69,-103.94
105.22,-102.24
105.28,-103.20
105.35,-104.74
105.62,-105.23
94.93,-101.98
94.82,-100.31
94.61,-101.37
94.52,-101.18
94.40,-100.32
93.98,-101.65
93.92,-98.86
93.75,-102.90
90.97,-102.87
85.28,-99.88
85.09,-100.74
84.87,-102.23
84.83,-102.90
84.06,-106.02
78.93,-101.46
74.99,-101.47
72.75,-99.08
57.02,-99.27
56.65,-100.13
56.42,-100.57
56.24,-102.12
55.87,-100.33
55.60,-102.09
55.24,-103.19
54.90,-102.01
54.40,-102.70
54.24,-99.66
53.93,-100.34
52.37,-101.71
51.98,-101.01
51.77,-101.72
51.26,-102.69
50.77,-100.93
50.22,-99.83
49.95,-99.86
49.72,-102.65
49.05,-99.88
48.85,-100.40
48.72,-96.39
48.48,-94.99
48.25,-98.12
48.11,-100.00
47.78,-100.65
47.07,-96.57
46.78,-97.19
46.51,-99.48
45.92,-96.83
45.68,-97.23
45.35,-99.02
45.32,-99.30
44.97,-97.17
44.90,-96.89
44.60,-102.97
44.28,-98.49
44.02,-95.48
43.72,-97.62
43.46,-100.33
43.18,-97.67
42.55,-94.84
42.18,-96.24
42.05,-95.43
41.36,-95.81
41.18,-94.43
40.96,-94.31
40.65,-95.81
40.43,-94.33
40.20,-98.13
39.99,-94.51
39.80,-95.47
39.52,-96.01
39.29,-96.21
39.05,-93.86
38.82,-93.33
37.67,-96.67
37.43,-93.17
37.19,-92.06
36.48,-92.69
36.32,-93.59
36.07,-95.46
35.75,-94.58
35.52,-94.89
35.20,-94.71
35.01,-92.20
34.81,-91.74
34.59,-92.29
34.47,-92.86
34.04,-92.18
33.75,-93.52
33.16,-96.67
33.03,-94.86
32.86,-94.39
32.02,-92.94
31.71,-94.04
31.55,-95.00
31.29,-96.45
30.98,-97.93
30.81,-97.85
30.34,-100.44
30.04,-95.29
29.82,-100.06
29.74,-100.85
29.28,-99.29
28.98,-97.17
28.34,-91.24
28.00,-93.18
27.87,-94.20
27.07,-89.76
26.84,-99.85
26.67,-94.72
26.58,-92.62
26.21,-93.85
25.98,-96.29
25.50,-99.32
25.06,-96.54
24.96,-98.49
24.74,-98.86
24.49,-96.00
24.46,-96.44
23.64,-97.86
23.39,-98.23
23.18,-98.08
22.60,-95.74
22.31,-93.22
22.02,-95.73
21.75,-96.65
21.62,-97.91
21.45,-96.76
21.22,-95.48
21.21,-97.36
20.45,-98.69
20.18,-98.18
20.07,-96.37
19.68,-96.02
19.63,-93.11
19.05,-92.55
18.72,-91.46
18.12,-94.63
17.89,-94.57
17.78,-93.04
17.58,-92.39
17.34,-93.27
16.14,-93.88
16.09,-94.54
15.37,-98.86
15.12,-94.82
15.05,-92.54
14.89,-92.76
14.59,-97.81
14.23,-97.80
14.48,-98.24
13.83,-94.12
13.15,-93.66
13.00,-91.99
12.90,-89.49
12.64,-92.18
12.17,-95.33
11.66,-93.68
11.49,-98.74
11.41,-96.02
11.10,-91.22
10.93,-90.92
10.64,-89.28
10.42,-89.10
10.23,-82.25
10.04,-81.84
9.75,-84.93
8.60,-95.44
8.56,-86.15
8.57,-76.13
8.30,-80.03
8.21,-78.58
7.50,-79.93
7.03,-83.97
6.91,-69.03
6.74,-71.83
6.51,-78.48
6.21,-75.92
6.07,-72.42
5.74,-72.62
5.44,-72.64
5.35,-68.11
4.69,-66.66
4.43,-72.90
4.24,-71.89
3.84,-75.94
3.86,-78.55
2.97,-76.51
2.93,-70.12
3.13,-84.82
2.55,-67.40
2.28,-69.94
2.19,-76.07
2.02,-59.67
1.87,-64.43
1.75,-62.05
1.69,-61.25
1.68,-62.87
1.67,-63.59
1.66,-67.41
1.62,-69.15
1.70,-63.34
1.68,-63.08
1.75,-67.82
1.65,-60.36
1.70,-66.44
1.67,-64.62
1.60,-63.24
1.67,-61.63
1.60,-65.24
1.79,-66.44
1.78,-62.01
1.74,-63.35
1.86,-64.88
1.88,-63.32
1.81,-65.55
1.72,-65.95
1.82,-64.77
1.80,-61.49
1.81,-62.85
1.75,-62.74
1.73,-64.00
1.88,-63.13
1.75,-64.43
1.78,-63.03
1.84,-65.81
1.83,-65.45
1.86,-65.42
1.86,-65.82
1.80,-61.57
1.78,-63.66
1.80,-61.96
1.83,-61.59
1.82,-61.94
1.79,-61.49
1.79,-62.57
1.84,-62.62
1.87,-62.63
1.83,-61.22
1.80,-63.62
1.81,-63.64
1.83,-62.57
1.76,-62.16
1.77,-63.83
1.80,-63.48
1.81,-61.06
1.78,-61.63
1.82,-61.12
1.81,-61.18
1.81,-63.59
1.80,-63.41
1.80,-61.99
1.77,-61.86
1.77,-64.07
1.75,-67.74
1.66,-64.32
1.58,-65.70
1.11,-64.80
0.96,-63.06
0.79,-64.31
0.59,-63.40
0.22,-61.47
0.28,-62.16
0.51,-58.26
0.48,-57.34
0.35,-60.44
0.06,-61.70
0.22,-62.46
0.46,-64.68
0.62,-69.51
0.86,-78.16
1.41,-69.48
2.53,-71.09
2.25,-70.69
2.50,-76.01
2.71,-70.42
2.92,-78.38
3.97,-76.12
3.70,-87.46
4.02,-91.60
4.28,-94.80
4.76,-89.56
4.78,-91.19
5.01,-91.57
5.48,-89.75
5.60,-87.87
5.62,-90.84
6.47,-95.65
6.13,-96.21
6.65,-86.43
6.75,-98.66
7.06,-99.06
7.10,-95.65
7.30,-90.64
7.46,-95.93
7.42,-90.77
7.39,-92.27
7.44,-77.16
7.55,-65.39
7.61,-72.96
7.58,-87.56
7.43,-89.53
7.65,-76.07
7.63,-74.03
7.62,-76.61
7.60,-72.73
7.68,-67.65
